id,réf,nom,epoque,couleur_dominante,couleurs_autres,type,quantite,lieu
0,VET/0,pantalon gendarmerie taille variable bleu marine,,bleu,,pantalon,11,BGEN1
1,VET/1,pantalon gendarmerie taille variable bleu avec trait noir sur le coté ,,bleu,,pantalon,8,BGEN1
2,VET/2,pull laine gendarmerie bleu marine,,bleu,blanc,pull,5,BGEN1
3,VET/3,chemise gendarmerie bleu clair ,,bleu,,haut,6,BGEN1
4,VET/4,débardeur blanc,,blanc,,haut,1,BCHA1
5,VET/5,chemise grise à carreau avec manches courtes ,,gris,,haut,1,BCHA1
6,VET/6,chemise à carreaux trop grande blanc et marron et rouge à manches longues,,marron,blanc orange,haut,1,BCHA1
7,VET/7,veste noire avec une bouton ,,noir,,haut,1,BCHA1
8,VET/8,jupe noire avec ruban à la ceinture,,noir,,jupe,1,BJU2
9,VET/9,jupe noire froissée,,noir,,jupe,1,BJU2
10,VET/10,robe longue verte foncée avec couture à carreaux,,vert,,robe,1,BRO3
11,VET/11,robe longue noire avec points blancs avec boutons devant,,noir,blanc,robe,2,BRO3
12,VET/12,robe moyenne débardeur à carreaux verte dentelle sur les bords,,gris,,robe,1,BRO3
13,VET/13,robe longue noire avec manches longues en toiles,,noir,,robe,1,BRO3
14,VET/14,veste de costume grise ,,gris,,veste,1,BVE1
15,VET/15,veste fine marron avec boutons ,,marron,,veste,1,BVE1
16,VET/16,veste verte,,vert,,veste,1,BVE1
17,VET/17,Veste longue fine grise avec ceinture ,,gris,,veste,1,BVE1
18,VET/18,veste courte noire avec boutons gris ,,noir,gris,veste,1,BVE1
19,VET/19,veste noire avec col ,,noir,,veste,1,BVE1
20,VET/20,manteau noire avec fourrure noire,,noir,,veste,1,BVE1
21,VET/21,veste longue grise ,,gris,,veste,1,BVE1
22,VET/22,veste courte noire sans fermeture,,noir,,veste,1,BVE1
23,VET/23,veste marron avec manche et col à tissu vert à rayure et boutons dorés,,marron,blanc vert,veste,1,BVE1
24,VET/24,veste couleur bleu jean courte gros boutons dorés,,bleu,or,veste,1,BVE1
25,VET/25,veste blanche avec bords noirs ,,blanc,noir,veste,1,BVE1
26,VET/26,veste noire avec boutons,,noir,,veste,1,BVE1
27,VET/27,veste bleu foncé enfant ,,bleu,or,veste,1,BTEN1
28,VET/28,chemise blanche avec haut brodé ,,blanc,,haut,1,BCHA1
29,VET/29,T-shirt à manches longues blanc délavé,,blanc,,haut,1,BCHA1
30,VET/30,chemise blanc ,,blanc,,haut,1,BCHA1
31,VET/31,chemise rouge à pois blanc ,,rouge,blanc,haut,1,BCHA1
32,VET/32,T-shirt transparent bleu à fleurs bleu,,blanc,bleu vert,haut,1,BCHA1
33,VET/33,chemise noire à rayures noires ,,noir,,haut,1,BCHA1
34,VET/34,veste en laine blanche à manches longues ,,blanc,,veste,1,BCHA1
35,VET/35,chemise blanche à motifs ,,blanc,,haut,1,BCHA1
36,VET/36,chemise de nuit blanche à fleurs ,,blanc,,haut,1,BCHA1
37,VET/37,chemise blanche à carreaux marrons manches longues ,,blanc,,haut,1,BCHA1
38,VET/38,chemise blanche transparente à broderies ,,blanc,,haut,1,BCHA1
39,VET/39,pantalon noir,,noir,,pantalon,1,BGEN1
40,VET/40,pantalon noir avec carré de tissus cousus et décousus ,,noir,vert marron jaune gris,pantalon,1,BPAN1
41,VET/41,pantalon bordeaux avec carré de tissus cousus,,marron,vert orange noir,pantalon,1,BPAN1
42,VET/42,pantalon bleu foncé avec carré de tissus cousus avec ceinture en jute,,bleu,vert marron,pantalon,1,BPAN1
43,VET/43,pantalon marron clair avec carré de tissus cousus ,,marron,bleu,pantalon,1,BPAN1
44,VET/44,pantalon bleu marine homme long élastique,,bleu,,pantalon,1,BPAN1
45,VET/45,pantalon noir,,noir,,pantalon,1,BPAN1
46,VET/46,robe blanche à pois noirs et boutons bleu devant,,blanc,noir,robe,1,BRO3
47,VET/47,chemise adulte homme marron clair,,marron,,haut,1,BCHA1
48,VET/48,chemise homme xxl à carreau bleue et blanc,,bleu,blanc,haut,1,BCHA1
49,VET/49,chemise homme couleur crème,,marron,,haut,1,BCHA1
50,VET/50,chemise homme bleu à rayures vertes avec broderie RB,,bleu,vert,haut,1,BCHA1
51,VET/51,chemise homme à carreaux bleu foncé et blanc douce,,bleu,blanc,haut,1,BCHA1
52,VET/52,chemise homme à rayures blanche et bleu,,bleu,,haut,1,BCHA1
53,VET/53,chemise à carreaux bleu ,,bleu,,haut,1,BCHA1
54,VET/54,chemise à motifs noir et gris ,,blanc,gris,haut,1,BCHA1
55,VET/55,chemise à carreaux homme bleu,,bleu,,haut,1,BCHA1
56,VET/56,chemise à motifs noir et bleu ,,bleu,,haut,1,BCHA2
57,VET/57,chemise à rayures rouge et gris ,,blanc,,haut,1,BCHA2
58,VET/58,chemise à rayures bleu clair blanc et noir ,,bleu,noir,haut,1,BCHA2
59,VET/59,chemise grise,,gris,,haut,1,BCHA2
60,VET/60,chemise à carreaux homme blanc vert ,,blanc,vert,haut,1,BCHA2
61,VET/61,chemise blanche  ,,blanc,,haut,1,BCHA2
62,VET/62,pantalon vert à carreaux bleu et rouge ,,vert,bleu rouge,pantalon,1,BPAN1
63,VET/63,pantalon gris avec traits noir sur le coté,,gris,,pantalon,1,BPAN1
64,VET/64,pantalon noir,,noir,,pantalon,1,BPAN1
65,VET/65,veste multicolore violet,,rouge,violet orange,haut,1,BCHA2
66,VET/66,chemise transparente blanche ,,blanc,,haut,1,BCHA2
67,VET/67,chemise blanche  ,,blanc,,haut,30,BCHA2
68,VET/68,chemise blanche longue ,,blanc,,haut,2,BCHA2
69,VET/69,jupe longue blanche ,,blanc,,jupe,5,BJU2
70,VET/70,jupe longue noir,,noir,,jupe,1,BJU2
71,VET/71,robe de veuve noire à carreaux,,noir,,robe,1,BRO3
72,VET/72,robe noire avec coutures à carreaux,,noir,,robe,1,BRO3
73,VET/73,jupe blanche longue,,blanc,,jupe,13,BJU3
74,VET/74,jupe courte transparente blanche,,blanc,,jupe,5,BJU3
75,VET/75,jupe blanche courte avec motifs ,,blanc,,jupe,1,BJU3
76,VET/76,jupon court blanc avec trous en bas,,blanc,,jupe,1,BJU3
77,VET/77,costume clown enfant bleu blanc rouge à pois et rayures,,bleu,rouge blanc,enfant,1,BTEN1
78,VET/78,tenue robe orpheline,,blanc,bleu,enfant,1,BTEN1
79,VET/79,chemisier robe noire écolier,,noir,,enfant,1,BTEN1
80,VET/80,blouse de maître d’école ,,bleu,,enfant,1,BTEN1
81,VET/81,shorts bleu marine associé à la marinière blanche et bleu,,bleu,,enfant,1,BTEN1
82,VET/82,short blanc associé à la marinière bleu et blanche,,blanc,,enfant,1,BTEN1
83,VET/83,marinière enfant bleu et blanche avec nœud blanc,,bleu,blanc,enfant,1,BTEN1
84,VET/84,marinière enfant blanche et bleu avec nœud bleu,,blanc,bleu,enfant,1,BTEN1
85,VET/85,pantalon en velours vert kaki,,vert,,pantalon,2,BPAN1
86,VET/86,pantalon en velours marron clair,,marron,,pantalon,1,BPAN1
87,VET/87,pantalon blanc à rayures grises ,,blanc,,pantalon,1,BPAN1
88,VET/88,pantalon jeans blanc ,,blanc,,pantalon,2,BPAN1
89,VET/89,pantalon marron noir à carreaux,,noir,,pantalon,1,BPAN1
90,VET/90,pantalon marron toile fin,,gris,,pantalon,1,BPAN1
91,VET/91,pantalon type jogging velours gris et blanc,,blanc,gris,pantalon,1,BPAN1
92,VET/92,pantalon de costume gris et noir rayures,,gris,,pantalon,2,BPAN2
93,VET/93,pantalon type velours marron vert,,vert,,pantalon,1,BPAN1
94,VET/94,pantalon de costume noir et gris à rayures,,noir,,pantalon,1,BPAN1
95,VET/95,pantalon gris,,gris,,pantalon,1,BPAN1
96,VET/96,pantalon noir bleu très foncé,,noir,,pantalon,3,BPAN1
97,VET/97,pantalon de velours gris ,,gris,,pantalon,2,BPAN1
98,VET/98,pantalon marron à rayures ,,marron,,pantalon,1,BPAN1
99,VET/99,jeans gris ,,gris,,pantalon,1,BPAN1
100,VET/100,pantalon noir,,noir,,pantalon,1,BPAN1
101,VET/101,pantalon de travail bleu ,,bleu,,pantalon,1,BPAN2
102,VET/102,chemise de travail bleu jeans,,bleu,,veste,2,BCHA2
103,VET/103,chemise bleu délavée jeans,,bleu,,veste,1,BCHA2
104,VET/104,chemise de travail bleu foncé petant avec logo CIM devant,,bleu,,veste,1,BCHA2
105,VET/105,pantalon gris foncé,,gris,,pantalon,1,BPAN2
106,VET/106,pantalon velours gris avec carré de coutures et ceintures en toile de jutes,,gris,marron jaune vert,pantalon,1,BPAN2
107,VET/107,pantalon noir à rayures grises ,,noir,,pantalon,1,BPAN2
108,VET/108,pantalon type jogging velours bleu marine et bleu,,bleu,,pantalon,1,BPAN2
109,VET/109,pantalon bleu foncé,,bleu,,pantalon,1,BPAN2
110,VET/110,pantalon velours marron ,,marron,,pantalon,1,BPAN2
111,VET/111,pantalon bleu foncé noir,,bleu,,pantalon,1,BPAN2
112,VET/112,pantalon noir de costume,,noir,,pantalon,1,BPAN2
113,VET/113,pantalon noir avec ruban sur le coté ,,noir,,pantalon,1,BPAN2
114,VET/114,jupe longue bleue unie,,bleu,,jupe,7,BJU3
115,VET/115,jupe longue verte unie,,vert,,jupe,2,BJU3
116,VET/116,Sur-jupe jaune moutarde avec poche et attache au dos,,jaune,,jupe,1,BJU4
117,VET/117,Sur-jupe à carreaux bleu et jaune à poches,,bleu,jaune,jupe,2,BJU4
118,VET/118,Sur-jupe à rayures bleu et beige ,,beige,bleu,jupe,1,BJU4
119,VET/119,Sur-jupe à carreaux noir et blanc,,noir,gris,jupe,1,BJU4
120,VET/120,Sur-jupe avec poche blanche et taches bleues,,blanc,bleu,jupe,1,BJU4
121,VET/121,Sur-jupe à poche noire,,noir,,jupe,3,BJU4
122,VET/122,Sur-jupe avec poche noire et blanche à pois ,,noir,blanc,jupe,1,BJU4
123,VET/123,Sur-jupe avec poche violet et marron,,marron,violet,jupe,2,BJU4
124,VET/124,Sur-jupe courte avec poche marron à carreaux,,marron,blanc,jupe,1,BJU4
125,VET/125,Sur-jupe beige à poche ,,beige,,jupe,1,BJU4
126,VET/126,Sur-jupe marron à poche ,,marron,,jupe,1,BJU4
127,VET/127,salopette tablier blanc,,blanc,,salopette,1,BJU4
128,VET/128,Sur-jupe blanche courte,,blanc,,jupe,1,BJU4
129,VET/129,Sur-jupe à petits carreaux marron,,marron,,pantalon,1,BJU4
130,VET/130,pantalon en velours marron ,,marron,,pantalon,1,BPAN2
131,VET/131,pantalon à rayure noir et gris,,noir,gris,pantalon,1,BPAN2
132,VET/132,pantalon gris ,,gris,,pantalon,1,BPAN2
133,VET/133,pantalon noir uni,,noir,,pantalon,1,BPAN2
134,VET/134,jeans bleu avec ceinture marron en jute et carreaux de tissus ,,bleu,marron violet vert,pantalon,1,BPAN2
135,VET/135,jeans gris foncé type velours,,gris,,pantalon,1,BPAN2
136,VET/136,pantalon noir sale à rayures droites,,noir,,pantalon,1,BPAN2
137,VET/137,pantalon vert kaki en velours ,,vert,,pantalon,1,BPAN2
138,VET/138,pantalon en velours beige,,beige,,pantalon,2,BPAN2
139,VET/139,pantalon en velours gris taille large,,gris,,pantalon,1,BPAN2
140,VET/140,pantalon en velours vert kaki ,,vert,,pantalon,1,BPAN3
141,VET/141,pantalon marron foncé en velours,,marron,,pantalon,1,BPAN3
142,VET/142,pantalon noir doux ,,noir,,pantalon,1,BPAN3
143,VET/143,pantalon gris à rayures,,gris,,pantalon,1,BPAN3
144,VET/144,pantalon gris à velours ,,gris,,pantalon,1,BPAN3
145,VET/145,pantalon en velours bleu foncé ,,bleu,,pantalon,1,BPAN3
146,VET/146,pantalon marron en velours avec ficelle ,,marron,blanc,pantalon,1,BPAN3
147,VET/147,pantalon vert bleu ,,bleu,,pantalon,2,BPAN3
148,VET/148,Panta-court à rayure gris noir,,noir,gris,pantalon,1,BPAN3
149,VET/149,jupon longue bleu foncé 1900 ,,bleu,,jupe,1,BJU4
150,VET/150,Chemisier 1900 blanc,,blanc,,haut,1,BCHA3
151,VET/151,chemisier blanc 1900,,blanc,,haut,1,BCHA3
152,VET/152,Chemisier 1900 ,,blanc,,haut,1,BCHA3
153,VET/153,Chemisier 1900 long,,blanc,,haut,1,BCHA3
154,VET/154,Chemisier 1900 ,,blanc,,haut,1,BCHA3
155,VET/155,chemise blanche ,,blanc,,haut,1,BCHA3
156,VET/156,chemisier blanc 1900,,blanc,,haut,1,BCHA3
157,VET/157,chemisier blanc 1900,,blanc,,haut,1,BCHA3
158,VET/158,chemisier beige ,,blanc,,haut,1,BCHA3
159,VET/159,chemisier noir ,,noir,,haut,1,BCHA3
160,VET/160,Chemisier noir sans manche  ,,noir,,haut,1,BCHA3
161,VET/161,chemise longue blanche ,,blanc,,haut,1,BCHA3
162,VET/162,chemise longue blanche ,,blanc,,haut,1,BCHA3
163,VET/163,chemise blanche avec froufrou,,blanc,,haut,1,BCHA3
164,VET/164,haut transparent blanc ,,blanc,,haut,1,BCHA3
165,VET/165,jupon blanc court ,,blanc,,jupe,1,BJU5
166,VET/166,jupon blanc court avec dentelle,,blanc,,jupe,1,BJU5
167,VET/167,jupon long blanc,,blanc,,jupe,5,BJU5
168,VET/168,jupe longue blanche,,blanc,,jupe,1,BJU5
169,VET/169,jupe longue blanche,,blanc,,jupe,1,BJU5
170,VET/170,jupe longue blanche,,blanc,,jupe,1,BJU5
171,VET/171,chemisier blanc manche blonde bouton or,,blanc,or,haut,1,BCHA3
172,VET/172,chemisier blanc 1900,,blanc,,haut,1,BCHA3
173,VET/173,chemise de nuit femme 19e ,,blanc,,haut,1,BCHA3
174,VET/174,T-shirt blanc manche longue taille 42-44 ,,blanc,,haut,1,BCHA3
175,VET/175,chemise blanche ,,blanc,,haut,1,BCHA3
176,VET/176,chemise manche longue ,,blanc,,haut,1,BCHA3
177,VET/177,chemisier blanc manche longue,,blanc,,haut,1,BCHA3
178,VET/178,chemisier blanc 1900,,blanc,,haut,1,BCHA3
179,VET/179,chemise blanche rayé,,blanc,,haut,1,BCHA3
180,VET/180,chemise blanche manche longue ,,blanc,,haut,1,BCHA3
181,VET/181,chemisier blanc avec nœud au cou,,blanc,,haut,1,BCHA3
182,VET/182,chemisier blanc col ,,blanc,,haut,1,BCHA3
183,VET/183,chemisier blanc avec nœud au cou,,blanc,,haut,1,BCHA3
184,VET/184,chemise blanche,,blanc,,haut,1,BCHA3
185,VET/185,chemisier blanc,,blanc,,haut,1,BCHA3
186,VET/186,robe de nuit blanche,,blanc,,haut,1,BCHA3
187,VET/187,chemise blanche manche longue ,,blanc,,haut,1,BCHA3
188,VET/188,chemise de nuit blanche ,,blanc,,haut,1,BCHA3
189,VET/189,chemise de nuit blanche ,,blanc,,haut,1,BCHA3
190,VET/190,chemise longue blanche ,,blanc,,haut,1,BCHA3
191,VET/191,chemise blanche manche longue ,,blanc,,haut,1,BCHA3
192,VET/192,chemise de nuit ,,blanc,,haut,1,BCHA3
193,VET/193,chemise longue blanche ,,blanc,,haut,1,BCHA3
194,VET/194,chemise manche moyenne ,,blanc,,haut,1,BCHA3
195,VET/195,chemise longue blanche ,,blanc,,haut,1,BCHA3
196,VET/196,chemise transparente manche longue,,blanc,,haut,1,BCHA3
197,VET/197,chemise blanche manche longue ,,blanc,,haut,1,BCHA3
198,VET/198,chemise blanche,,blanc,,haut,1,BCHA4
199,VET/199,chemise blanche ,,blanc,,haut,1,BCHA4
200,VET/200,chemise longue blanche ,,blanc,,haut,1,BCHA4
201,VET/201,chemise de nuit blanche homme,,blanc,,haut,1,BCHA4
202,VET/202,chemise longue blanche ,,blanc,,haut,1,BCHA4
203,VET/203,chemise blanche courte manche longue ,,blanc,,haut,1,BCHA4
204,VET/204,chemise longue blanche ,,blanc,,haut,1,BCHA4
205,VET/205,chemise courte ,,blanc,,haut,1,BCHA4
206,VET/206,chemise boutons nombreux ,,blanc,,haut,1,BCHA4
207,VET/207,chemisier fleuri blanc ,,blanc,,haut,1,BCHA4
208,VET/208,chemise brodée ,,blanc,,haut,1,BCHA4
209,VET/209,chemise blanche ,,blanc,,haut,1,BCHA4
210,VET/210,chemisier blanc manche longue ,,blanc,,haut,1,BCHA4
211,VET/211,chemise blanche manche longue ,,blanc,,haut,1,BCHA4
